##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	HU1_MOCK1_L001_R1_001.fastq.gz
File type	Conventional base calls
1114	1	-0.01723915492110706
1114	2	0.07746483494086931
1114	3	0.0845482404181439
1114	4	0.05280809430308153
1114	5	0.0482309574199391
1114	6	0.03505629707557745
1114	7	0.046640536082144024
1114	8	0.0688788584745339
1114	9	-0.02991020589917781
1114	10-14	0.03367020267386778
1114	15-19	0.03757514065099343
1114	20-24	0.013514778580734799
1114	25-29	0.020358112983245746
1114	30-34	-5.226685590997704E-5
1114	35-39	0.017741819131806835
1114	40-44	0.008053326753426404
1114	45-49	0.040024221153558415
1114	50-54	0.011809082918325942
1114	55-59	0.02943162829526358
1114	60-64	0.06020915589807174
1114	65-69	0.016606724764557157
1114	70-74	0.06694879751706395
1114	75-79	0.043591491983463015
1114	80-84	0.03951245541911419
1114	85-89	0.09663389809089296
1114	90-94	0.06344196365793664
1114	95-99	0.10614841685845988
1114	100-104	0.09408478551667798
1114	105-109	0.15090366049945203
1114	110-114	0.09143441126219187
1114	115-119	0.1020696971992976
1114	120-124	0.11825996834694052
1114	125-129	0.06020223671405489
1114	130-134	0.1435279232893265
1114	135-139	0.13355524714433642
1114	140-144	0.16463605698461947
1114	145-149	0.27215731437156876
1114	150-151	0.31457290693493434
1115	1	0.08615232364622472
1115	2	0.005937535299032959
1115	3	0.05001649452582768
1115	4	0.05049845775598527
1115	5	-0.02538929566726722
1115	6	0.077246684589106
1115	7	-0.03604019930217106
1115	8	-0.015508516037854747
1115	9	0.01150327553556707
1115	10-14	0.01654363386391111
1115	15-19	0.006512377559531046
1115	20-24	0.013600779651618211
1115	25-29	0.0012943996881062958
1115	30-34	0.003702143685551107
1115	35-39	-0.0069848391989424385
1115	40-44	0.04402164616852389
1115	45-49	0.026333539947657414
1115	50-54	0.013527053030472302
1115	55-59	-0.030915175599332656
1115	60-64	-0.01017905253440432
1115	65-69	-0.0350490403222139
1115	70-74	0.024431795434594505
1115	75-79	0.010277952496842602
1115	80-84	0.02213284636419388
1115	85-89	0.01705217926327407
1115	90-94	0.03308047932991798
1115	95-99	-0.0073755611448760305
1115	100-104	-0.019988002539413685
1115	105-109	0.018881090266958722
1115	110-114	0.00378088587480363
1115	115-119	-0.01929226002945228
1115	120-124	0.08621598629734706
1115	125-129	0.040984557655860954
1115	130-134	0.05003325213078824
1115	135-139	0.054657381789937176
1115	140-144	0.05507872587196516
1115	145-149	0.17953208658970965
1115	150-151	0.09168032255103498
1116	1	0.017591948493887344
1116	2	0.017264100352619494
1116	3	0.06339484384342597
1116	4	0.02675624307816804
1116	5	0.011339346930135719
1116	6	-0.006379116116967509
1116	7	0.02789973654451927
1116	8	0.04349220839976908
1116	9	-0.011259990837295675
1116	10-14	0.004663418750631365
1116	15-19	-0.009867420175183383
1116	20-24	0.0034531552123766573
1116	25-29	0.005698921823316994
1116	30-34	0.012892382826919402
1116	35-39	-0.021625986627022087
1116	40-44	0.0234527120294743
1116	45-49	0.010648877363365727
